ID#,Activity Name,Pillar,Responsibility,Activity Type,Duration,Descriptions,Outcomes,End State,Predecessor(s),Successor(s),Related NIST Controls,Azure Commercial Remediation,Azure Government Remediation
2.4.2,"Managed and Limited BYOD 
& IOT Support",Device,"Enterprise and 
Component",Target Level ZT,39.7,"DoD Components utilize Enterprise Device Management Solution to 
ensure that managed Bring Your Own Device (BYOD) and Internet of 
Things (IoT) devices are fully integrated with Enterprise IdP. Enabling 
user and device-based authorization is supported. Device access 
requires dynamic access policies and the practice of least privilege.","1. All Component access must be governed by dynamic access 
permissions for BYOD and IoT Devices.
2. Component BYOD and IoT device permissions are baselined and 
integrated with Enterprise IdP.","Components establish a foundation for risk-based 
access control for BYOD and IoT with dynamic 
permissions.",,"Implement C2C/Compliance 
Based Network Authorization 
Pt1; 
Managed and Full BYOD & IOT 
Support Pt1","AC-19, CM-7",Intune MAM/MDM; app protection; CA with device filters.,Same in Gov.
2.4.3,"Managed and Full BYOD & 
IOT Support Pt1",Device,,Advanced Level ZT,24.7,"DoD Components utilize Unified Endpoint and Device Management 
(UEDM) and similar solutions to enable access for managed and 
approved devices to Mission and Operational Critical 
services/applications using dynamic access policies. BYOD and Internet 
of Things (IoT) devices are required to meet standard baseline checks 
before authorization.","1. Only BYOD and IoT devices that meet configuration standards are 
allowed to access resources.
2. Critical Services require dynamic access for devices.",,"Managed and Limited BYOD & 
IOT Support","Managed and Full BYOD & IOT 
Support Pt2","AC-19, CM-7",Intune MAM/MDM; app protection; CA with device filters.,Same in Gov.
2.4.4,"Managed and Full BYOD & 
IOT Support Pt2",Device,,Advanced Level ZT,24.6,"DoD Components utilize Unified Endpoint and Device Management 
(UEDM) and similar solutions to grant authorized managed devices 
access to all services and applications where possible. Unmanaged 
devices, upon meeting device checks and standard baselines, are 
granted access to services and applications following a risk-based 
authorization approach.",1. All possible services require dynamic access for devices.,,"Fully Integrate Device Security 
Stack w/C2C as appropriate; 
Managed and Full BYOD & IOT 
Support Pt1",,"AC-19, CM-7",Intune MAM/MDM; app protection; CA with device filters.,Same in Gov.
2.5.1,"Implement Asset, 
Vulnerability and Patch 
Management Tools",Device,Component,Target Level ZT,18.4,"DoD Components implement solution(s) for managing asset/device 
configurations, vulnerabilities, and patches. Using minimum compliance 
standards (e.g., STIGs, C2C, UEM etc.), teams can confirm or deny 
managed device compliance. As part of the procurement and 
implementation process for solutions, APIs or other programmatic 
interfaces will be in scope for future levels of automation and 
integration.","1. Components can confirm if devices meet minimum compliance 
standards or not.
2. Component solutions enable integration across asset 
management, vulnerability, and patching systems while considering 
automation capabilities.","Continuously identify and address vulnerabilities, 
manage assets effectively, and apply necessary patches 
to mitigate potential threats and maintain a secure 
environment.",,"Implement C2C/Compliance 
Based Network Authorization 
Pt1; 
Automate Application Security 
& Code Remediation Pt1",,,
2.6.1,"Implement UEDM or 
equivalent Tools",Device,Component,Target Level ZT,18.1,"DoD Components will work closely with the “Implement Asset, 
Vulnerability, and Patch Management Tools” activity to procure a 
implement and Unified Endpoint Device Management (UEDM) solution 
ensuring that requirements are integrated with the procurement 
process. Once a solution is procured the UEDM team(s) ensure that 
critical ZT Target Level functionalities such as minimum compliance, 
asset management, and API support are in place.","1. Components can confirm if devices meet minimum compliance 
standards or not.
2. Components have asset management system(s) for user devices 
(phones, desktops, laptops) that maintains IT compliance, which is 
reported up to DoD enterprise.
3. Components asset management systems can programmatically 
(i.e., API) provide device compliance status and if it meets minimum 
standards.","UEDM implementation enables effective patch 
management and configuration baselines. It also 
provides an ability to deny/quarantine devices remotely 
that are not in compliance.",,Enterprise PKI Pt1,"AC-19, CM-7",Implement Intune; enforce baselines; report compliance.,Intune GCCH; baselines.
2.6.2,"Enterprise Device 
Management Pt1",Device,"Enterprise and 
Component",Target Level ZT,17.6,"DoD Enterprise sets standards and policies for Enterprise Device 
Management (EDM). DoD Components migrate the manual device 
inventory to an automated approach using an EDM solution. Approved 
devices are able to be managed regardless of location. Devices part of 
critical services are managed by the EDM solution supporting 
automation.","1. Enterprise sets standards and policies for EDM.
2. Components manual inventory is integrated with an automated 
management solution for critical services.
3. Components enable ZT device management (from any location 
with or without remote access).  
4. Where applicable, ensure tracking of  NPEs in the UEM solution.","Implementing consistent and well-defined processes 
and controls for managing devices.",,"NPE/PKI Device Under 
Management;
Enterprise Device Management 
Pt2;
Resource Authorization Pt1",,,
2.6.3,"Enterprise Device 
Management Pt2",Device,Component,Target Level ZT,12.6,"DoD Components migrate the remaining devices to Enterprise Device 
Management (EDM) solution. EDM solution is integrated with risk and 
compliance solutions as appropriate.","1. Manual inventory of devices, software, and security posture of 
each device is integrated with an automated management solution 
for all services.","All devices are managed and automation is utilized 
where applicable for rapid threat mitigation.","Enterprise Device 
Management Pt1",,,,
2.7.1,"Implement Endpoint 
Detection & Response (EDR) 
Tools and Integrate with C2C",Device,Component,Target Level ZT,16.5,"DoD Components procure and implement Endpoint Detection and 
Response (EDR) solution(s) within environments. EDR is protecting, 
monitoring, and responding to malicious and anomalous activities 
enabling ZT Target Level functionality and is sending data to the Comply 
to Connect (C2C) solution for expanded device and user checks.","1. EDR tooling is implemented.
2. Critical EDR data is being sent to C2C for checks.
 3. Endpoint Protection Platform (EPP) tooling covers maximum 
amount of services/applications.","Detect advanced threats that are undetectable by a 
traditional antivirus program,  optimizing the response 
time of incidents, discarding false positives, implement 
blocking, and protect against multiple threats happening 
simultaneously across various threat vectors.","Integrate NextGen AV Tools 
with C2C","Implement Extended Detection 
& Response (XDR) Tools and 
Integrate w/C2C Pt 1","RA-5, CM-7",Intune compliance + Conditional Access; Defender posture signals.,Same in Gov.
2.7.2,"Implement Extended 
Detection & Response (XDR) 
Tools and Integrate with C2C 
Pt1",Device,Component,Target Level ZT,19.2,"DoD Components procure and implement Extended Detection & 
Response (XDR) solution(s). Integration points with cross pillar 
capabilities (network, cloud services, applications) are identified and 
prioritized based on risk. XDR is aligned with C2C program. XDR 
capabilities either supplement or replace EDR implementations. Analysis 
and correlation capabilities are sent from the XDR solution stack to the 
SIEM.","1. XDR solution is implemented,and replaces EDR where possible.
2. Integration points have been identified and prioritized per 
capability.
3. XDR and SIEM have integrations to gain a comprehensive view of 
data integration, correlation, analytics, incident response, and 
automation.","Expanding from an EDR to an XDR solution provides a 
holistic view of the threat landscape, allowing for 
coordinated response, automation, and orchestration 
when responding to threats.","Implement Endpoint Detection 
& Response (EDR) Tools and 
Integrate w/C2C; Threat 
Alerting Pt1","Implement Extended Detection 
& Response (XDR) Tools and 
Integrate w/C2C Pt 2","RA-5, CM-7",Intune compliance + Conditional Access; Defender posture signals.,Same in Gov.
2.7.3,"Implement Extended 
Detection & Response (XDR) 
Tools and Integrate with C2C 
Pt2",Device,,Advanced Level ZT,19.9,"Extended Detection & Response (XDR) solution stack completes 
identification of integration points expanding coverage to the fullest 
amount possible. Exceptions are tracked and managed using a risk-
based approach for continued operation. Extended analytics enabling ZT 
Advanced Level functionalities are integrated into the SIEM and other 
appropriate solutions.","1. Remaining integration points have been integrated, with 
exceptions for operational integrity being tracked.
2. XDR solutions, along other Analytic tools, enhance alerting and 
responses with SIEM, and other solutions.",,"Implement Extended 
Detection & Response (XDR) & 
Integrate w/C2C Pt 1",Threat Alerting Pt3,"RA-5, CM-7",Intune compliance + Conditional Access; Defender posture signals.,Same in Gov.
3.1.1,"Application/Code 
Identification","Application & 
Workload",Component,Target Level ZT,16.7,"DoD Components create an inventory of approved applications and code 
being used, including open-source, commercial, and in-house developed 
software. Each Component will track the supportability (i.e., active, 
legacy, etc.) hosted location (i.e., cloud, on-premises, hybrid, etc.) and 
record important data (i.e., name, version, team responsible, licensing 
and support, mapped dependencies).","1. Component has identified applications and classified as either 
legacy, virtualized on-premises, and cloud hosted.
2. Applications and codes are tracked by vendor, version number, 
commercial name, and patch level.","Develop an inventory to better support patch 
management and supply chain risk management 
increasing security by identifying unauthorized apps and 
identify security vulnerabilities.",,,,,
3.2.1,"Build DevSecOps Software 
Factory Pt1","Application & 
Workload",Enterprise,Target Level ZT,19.3,"The DoD Enterprise provide best practices for modern DevSecOps 
processes and CI/CD pipelines. The concepts are applied in a 
standardized technology stack across DoD Components able to meet 
future Application Security requirements, including requirements 
gathering, design, development, testing and deployment.","1. Developed security best practices for DevSecOps and CI/CD 
pipelines.
2. Vulnerability management is integrated into CI/CD pipelines.","Implementing consistent and well-defined processes 
and controls for DevSecOps.",,"Build DevSecOps Software 
Factory Pt2;
Automate Application Security 
& Code Remediation Pt1","SA-3, SA-11",Azure DevOps/GitHub with security scans; Defender for DevOps.,Same in Gov.
3.2.2,"Build DevSecOps Software 
Factory Pt2","Application & 
Workload",Component,Target Level ZT,10.8,"DoD Components use their approved CI/CD pipelines to develop most 
new applications. Any exceptions will follow a standardized approval 
process to be allowed to develop in a legacy fashion. DevSecOps 
processes are also used to develop all new applications and update 
existing applications. Continual validation functions are integrated into 
the CI/CD pipelines and DevSecOps processes and integrated with 
existing applications.","1. Implement Component CI/CD pipeline(s) and Software Factory 
per the DoD CIO DevSecOps Instruction/Directive.
2. Application development  adopts the use of CI/CD pipelines.
3. Continual validation process/technology is implemented and in 
use (see ""Continual Validation"" activity).
4. Application development adopts the use of the DevSecOps 
process and technology.","Ensure code changes and updates are secure and 
compliant, reducing risk of an exploit.","Build DevSecOps Software 
Factory Pt1","Continuous Authorization to 
Operate (cATO) Pt1","SA-3, SA-11",Azure DevOps/GitHub with security scans; Defender for DevOps.,Same in Gov.
3.2.3,"Automate Application 
Security & Code 
Remediation Pt1","Application & 
Workload","Enterprise and 
Component",Target Level ZT,18.0,"A standardized approach to application security including code 
remediation is implemented across the DoD enterprise. Part one (1) of 
this activity includes the integration of securing API gateways (i.e., API 
management, WAF, continuous API testing, distributed enforcement not 
just perimeter) with applications utilizing API or similar calls. Code 
reviews are conducted in a methodical approach, and standardized 
protections for containers and their infrastructure are in place. 
Additionally, any serverless functions where the 3rd party manages the 
infrastructure, such as Platform as a Service, utilize adequate serverless 
security monitoring and response functions. Code reviews, container 
and serverless security functions are integrated into the CI/CD and/or 
DevSecOps process, as appropriate.","1. Enterprise sets standardized approach to application security, 
including code remediation. 
2. Secure API Gateway is operational, and the majority of API calls 
are passing through the gateway.
3. Application Security functions (e.g., code review, container and 
serverless security) are implemented as part of CI/CD and 
DevSecOps.","Standardize and modernize security infrastructure tools 
and security integration into application development 
processes.","Vulnerability Management 
Program Pt2;
Implement Asset, Vulnerability 
and Patch Management Tools;
Build DevSecOps Software 
Factory Pt1","Automate Application Security 
& Code Remediation Pt2;
 REST API Micro-Segments",,,
3.2.4,"Automate Application 
Security & Code 
Remediation Pt2","Application & 
Workload",,Advanced Level ZT,16.2,"DoD Components modernize approaches to delivering internally 
developed and managed applications following best practice approaches 
such as a Microservices architecture. These approaches will enhance 
security and resilience by enabling rapid code updates within individual 
microservices to address vulnerabilities. Further enhance application 
security by integrating runtime security functions for containers where 
applicable, automating vulnerable library updates, and automating 
CI/CD approvals during the release process.","1. Secure API Gateway is operational, and majority of API calls are 
passing through API gateway.
2. Services are provided following a Service Oriented Architecture 
(SOA).
3. Security Remediation activities (e.g., runtime security, library 
updates, release approvals) are fully automated.",,"Automate Application Security 
& Code Remediation Pt1",,,,
3.3.1,Approved Binaries/Code,"Application & 
Workload",Enterprise,Target Level ZT,23.4,"The DoD Enterprise uses best practices to manage approved binaries 
and code in a methodical approac, including supplier sourcing risk 
management, approved repository usage, Software Bill of Materials 
(SBOM), supply chain risk management, and industry-standard 
vulnerability management.","1. Supplier sourcing risk evaluated and identified for approved 
sources.
2. Repository and update channel established for use by 
development teams.
3. SBOMs are created for applications to identify source, 
supportability, and risk posture.
4. Defense Industry Base (DIB) standards and approved 
vulnerability databases are pulled in to be used in DevSecOps.","Safeguard the creation, storage, and delivery of code","Vulnerability Management 
Program Pt1",,,,
3.3.2,"Vulnerability Management 
Program Pt1","Application & 
Workload","Enterprise and 
Component",Target Level ZT,7.8,"The DoD Enterprise collaborates with Components to establish and 
manage a comprehensive Vulnerability Management program. The 
program, at a minimum, encompasses the tracking and management of 
public vulnerabilities based on DoD applications and services. Each 
Component is responsible for establishing a vulnerability management 
team comprised of key stakeholders. This team convenes to discuss and 
manage vulnerabilities in accordance with established Enterprise policy 
and standards.","1. Components establish a vulnerability management governance 
team with appropriate stakeholder membership.
2. Enterprise provides a vulnerability management policy and 
standard for minimum tracking and management of public 
vulnerabilities based on DoD applications andservices.","Provide structure and an approach to addressing 
vulnerabilities in accordance with Enterprise policy.",,"Approved Binaries/Code; 
Vulnerability Management 
Program Pt2",,,
3.3.3,"Vulnerability Management 
Program Pt2","Application & 
Workload","Enterprise and 
Component",Target Level ZT,12.1,"Processes are established at the DoD Enterprise level for managing the 
disclosure of vulnerabilities in DoD maintained and operated services, 
both publicly and privately accessible. DoD Components expand the 
vulnerability management program to track and manage closed 
vulnerability repositories such as DIB-VDP, CERT, and others.","1. Components utilize controlled (e.g., DIB-VDP, CERT) sources for 
tracking vulnerabilities. 
2. Enterprise sets minimum standards for vulnerability 
management program accepting external/public disclosures for 
managed services.
                                                               
3. Vulnerability remediation plans are developed and implemented 
at the Component level.","Enterprise-established processes for automated threat 
sharing from controlled sources are integrated into 
Component vulnerability management programs.","Vulnerability Management 
Program Pt1","Automate Application Security 
& Code Remediation Pt1",,,
3.3.4,Continual Validation,"Application & 
Workload",Component,Target Level ZT,11.1,"DoD Components implement a continuous validation approach for 
application development, where security is constantly assessed 
throughout the development, integration, and deployment. Validation 
includes security principles when planning and designing, security 
testing (to include code reviews), incident response, and SIEM 
alerting/logging. These principles are integrated and continuously 
executed with the CI/CD pipeline. Applications developed outside of 
CI/CD process should still adhere to continuous validation in an ad 
hoc/manual manner.","1.  Continual validation tools are implemented and applied to code 
in the CI/CD pipeline.
2. Updated applications are only deployed in a live and/or 
production environment with a continuous validation approach.
3. Applications developed outside of CI/CD pipeline are still 
validated in a ad hoc/manual manner, as established in the 
continuous validation approach.","Establish a continuous validation process and tooling 
that are seamlessly integrated with application planning 
and design, security testing, incident response, and 
SIEM alerting/logging.",,,,,
3.4.1,Resource Authorization Pt1,"Application & 
Workload","Enterprise and 
Component",Target Level ZT,18.5,"The DoD Enterprise standardizes policy enforcement approaches (e.g., 
Software Defined Perimeter) with the Components. At a minimum, the 
access and authorization gateways will be integrated with identities and 
devices once authentication is achieved. Components deploy approved 
resource authorization gateways and enable them for external facing 
applications and services. Additional applications for migration and 
applications unable to be migrated are identified for exception or 
decommission.","1. DoD Enterprise sets standards on policy enforcement approach. 
At a minimum, access and authorization is integrated with identities 
and devices once authentication is achieved.
2. Components deploy approved resource authorization gateways 
and enable them for external facing applications and services.
3. DoD Enterprise-wide interoperability guidance is communicated 
to stakeholders.","Policy enforcement points are fully integrated with 
identity and device management systems, ensuring 
consistent and secure access control across the 
Enterprise.","Single Authentication;
Datacenter Macro 
segmentation;
Enterprise Device 
Management Pt1",Resource Authorization Pt2,"AC-3, AC-4",Use APIM + Managed Identity; micro-seg with NSGs/PE.,Same in Gov.
3.4.2,Resource Authorization Pt2,"Application & 
Workload",Component,Target Level ZT,20.6,"Policy enforcements and decisions are used for all possible applications 
and services. Application unable to utilize gateways are either 
decommissioned or accepted using a risk-based methodical approach. 
Authorizations are further integrated with the CI/CD pipeline for 
automated decision making.","1. Policy enforcement is utilized for all applications and services.
2. Applications and services are identified that are accepted or 
decommissioned.","Resource authorization gateways leveraging PDP and 
PEP integrated with identity and access management 
systems are implemented for all applications. 
Authorization policies are embedded within DevSecOps 
and the CI/CD pipeline to ensure automated, 
continuous, and secure access control decisions.",Resource Authorization Pt1,,"AC-3, AC-4",Use APIM + Managed Identity; micro-seg with NSGs/PE.,Same in Gov.
3.4.3,"SDC Resource Authorization 
Pt1","Application & 
Workload","Enterprise and 
Component",Target Level ZT,31.1,"The DoD Enterprise establishes best practices for code-based compute 
management (i.e., Software Defined Compute(SDC)). Using risk-based 
approaches, baselines are created using the approved set of code 
libraires and packages. DoD Components work with the approved 
code/binaries activities to ensure that applications are identified which 
can and cannot support the approach. Applications that can support a 
modern software-based configuration and management approaches are 
identified, and transitioning begins. Applications that cannot follow 
software-based configuration and management approaches are 
identified and allowed through exception using a methodical approach.","1. Enterprise-wide guidance on SDC standards are communicated 
to stakeholders.
2. Components identify applications that can support the SDC 
approach.","Enterprise best practices support Component efforts in 
leveraging SDC capabilities.",,"SDC Resource Authorization 
Pt2","AC-3, AC-4",Use APIM + Managed Identity; micro-seg with NSGs/PE.,Same in Gov.
3.4.4,"SDC Resource Authorization 
Pt2","Application & 
Workload",Component,Target Level ZT,21.8,"Components use approved and validated code/binaries via the Software 
Bill of Materials (SBOM) process to ensure that applications that can and 
cannot support the approach are identified. Applications which can 
support modern Software-Based Configuration and Management 
(SBCM) approaches are identified and transitioned. Applications that 
support SBCM have been transitioned to a production/live environment 
and are in normal operations. Applications which cannot SBCM are 
identified and allowed through exception using a risk-based approach.","1. Updated applications are deployed in a live and/or production 
environment.
2. Applications that were marked for retirement and transition 
have a decommissioned indicator.
3. Applications unable to be updated to an approved binaries/code 
are marked for retirement and transition plans are created.
4. Identified applications are updated to use approved 
binaries/code.","Components operationalize validated code and binaries 
through use in the production environment","SDC Resource Authorization 
Pt1;
Single Authentication;
Datacenter Macro-
Segmentation",,"AC-3, AC-4",Use APIM + Managed Identity; micro-seg with NSGs/PE.,Same in Gov.
3.4.5,"Enrich Attributes for 
Resource Authorization Pt1","Application & 
Workload",,Advanced Level ZT,17.6,"Initial attributes from various sources, such as User and Entity Activity 
Monitoring (UEAM), micro-segmentation services, Data Loss Prevention 
(DLP), and Digital Rights Management (DRM) tools are integrated with 
the Resource Authorization technology system and policies. Any 
additional attributes for later integration are identified and planned. 
Attributes are used to create basic risk posture of users, NPEs and 
devices allowing for authorization decisions  based on the evaluated risk.","1. Most API calls are passing through the Secure API Gateway.
2. Resource Authorization receives data from Analytics Engine.
3. Authorization policies incorporate identified attributes in making 
authorization decisions.
4. Attributes to be used for initial enrichment are identified and 
assigned to resources and/or entities.",,"User Activity Monitoring Pt2; 
Entity Activity Monitoring Pt2; 
Application & Device Micro 
segmentation; Manual Data 
Tagging Pt2; DLP Enforcement 
via Data Tags and Analytics 
Pt2; DRM Enforcement via 
Data Tags and Analytics Pt2","Enrich Attributes for Resource 
Authorization Pt2","AC-3, AC-4",Use APIM + Managed Identity; micro-seg with NSGs/PE.,Same in Gov.
3.4.6,"Enrich Attributes for 
Resource Authorization Pt2","Application & 
Workload",,Advanced Level ZT,17.8,"Extended identified attributes are integrated with the resource 
authorization technology and policy. Confidence scoring system is 
introduced for identified attributes to create a more advanced method 
of authorization decision making supporting.","1. Authorization policies incorporate confidence levels in making 
authorization decisions.
2. Confidence levels for attributes are defined.",,"Enrich Attributes for Resource 
Authorization Pt1",,"AC-3, AC-4",Use APIM + Managed Identity; micro-seg with NSGs/PE.,Same in Gov.
3.4.7,REST API Micro-Segments,"Application & 
Workload",,Advanced Level ZT,18.1,"Using the DoD Enterprise approved API gateway(s), application calls are 
micro-segmented, only allowing authenticated and authorized access to 
specific destinations (e.g., microservices). When possible, API micro-
segmentation consoles are integrated and aware of other micro-
segmentation consoles such as Software Defined Perimeter 
(SDP)controllers and/or Software Defined Networking (SDN) consoles.",1. Approved Enterprise APIs are micro-segmented appropriately.,,"Automate Application Security 
& Code Remediation Pt1",,,,
3.5.1,"Continuous Authorization to 
Operate (cATO) Pt1","Application & 
Workload",,Advanced Level ZT,15.1,"DoD Components utilize automation solutions within the environment 
to standardize the monitoring of controls and offer the capability to 
identify deviations. Where appropriate, monitoring and testing is 
integrated with DevSecOps processes.","1. Controls derivation is standardized and ready for automation.
2. Controls testing is integrated with DevSecOps processes and 
technology.",,"Policy Inventory & 
Development; Build 
DevSecOps Software Factory 
Pt2","Continuous Authorization to 
Operate (cATO) Pt2","CA-7, CA-2",Defender for Cloud regulatory compliance; Policy compliance dash.,Same in Gov.
3.5.2,"Continuous Authorization to 
Operate (cATO) Pt2","Application & 
Workload",,Advanced Level ZT,21.8,"DoD Components fully automate control derivation, testing and 
monitoring processes. Deviations are automatically tested and resolved 
using existing cross pillar automation infrastructure. Dashboards are 
used to monitor the status of authorizations; analytics are integrated 
with the responsible authorizing officials.","1. Controls testing is fully automated.
2. Integration with standard IR and SOC operations is automated.
3. Control derivation and applicability is fully automated.
4. Dashboards are used to track continuing authorization status.",,"Continuous Authorization to 
Operate (cATO) Pt1; Threat 
Alerting Pt3; Automated 
Workflow",,"CA-7, CA-2",Defender for Cloud regulatory compliance; Policy compliance dash.,Same in Gov.
4.1.1,Data Analysis,Data,"Enterprise and 
Component",Target Level ZT,17.4,"The DoD Enterprise will develop algorithm(s) for components to map 
data for tagging and labeling, and establish the governing body for 
oversight. Data at a Component level should be categorized and 
analyzed by an overseeing governing body.","1. Algorithms are entered into an algorithm registry with 
appropriate tagging and labeling set by the Enterprise to allow 
search and retrieval as appropriate (e.g., accommodating data 
catalog risk alignment).  
2. Component data catalog is updated with data types for each 
application and service based on data classification levels.","Data analysis ensures data protection and reduces risk. 
All problems have a data analysis algorithm registered in 
a repository with associated data indicated, and the 
oversight governance body has awareness that is 
Visibile, Accessible, Understandable, Linked, Trusted, 
Interoperable, and Secure (VAULTIS) compliant.",,Manual Data Tagging Pt1,,,
4.2.1,"Define Data Tagging 
Standards",Data,"Enterprise and 
Component",Target Level ZT,15.8,"Data tagging standard for identifying ZT labels must be defined.  The 
DoD Enterprise works with Components to establish data tagging and 
classification standards based on industry best practices. Classifications 
are agreed upon and implemented in processes. Tags are identified as 
manual and automated for future activities.","1. Enterprise establishes the standard pattern for control 
vocabulary and how it is managed.
2. Components align to Enterprise standards and begin 
implementation.
                                                               
3. Components implement data tagging and labeling standards.","The data dictionary and structure is developed at a 
broader DoD Enterprise level. ZT specific data attributes 
are defined in alignment with the Enterprise data 
dictionary and structure.",,"Implement Data Tagging & 
Classification Tools;
 Manual Data Tagging Pt1; 
Automated Data Tagging & 
Support Pt1;
 Implement Data Tagging & 
Classification ML Tools","MP-3, AC-16",Use MIP labels and auto-labeling in Purview.,Same in Gov.
4.2.2,Interoperability Standards,Data,"Enterprise and 
Component",Target Level ZT,14.4,"The DoD Enterprise, collaborating with Components, develops 
interoperability standards methods including  mandatory Data Rights 
Management (DRM) overlays and Protection mechanisms with 
necessary technologies to enable ZT Target Level functionality.","1. Standard patterns are in place by the Enterprise for appropriate 
interoperability data sharing.","Interoperability standards for DRM and protection are 
established and enforced across the Enterprise. These 
standards are supported by a common language (terms 
list and scientific definitions) to ensure consistency and 
clarity. Equal computation outcomes are produced for 
any rule, and an action agent (enforcement) based on 
computational results is executed. this unified approach 
promotes secure, consistent, and compliant data 
management.",,"Implement DRM and 
Protection Tools Pt1",,,
4.2.3,"Develop Software Defined 
Storage (SDS) Policy",Data,"Enterprise and 
Component",Target Level ZT,9.9,"The DoD enterprise will work with Components to determine if software 
define storage (SDS) is in use.  DoD Components develop policy and 
standards based on industry best practices, and evaluate current data 
storage strategy and technology for implementation of SDS.Components 
assess their existing data storage strategies and technologies to 
determine the suitability for implementing SDS. If deemed appropriate, 
the identified storage technologies are considered for SDS 
implementation.","1. Enterprise defines and refines minimum attribution 
requirements for SDS to support Zero Trust enablement.
2. Components assess their existing data storage for SDS 
implementation considerations.","Ensure holistic approach for SDS security alignment 
within Components to strengthen access and 
availability, data protection, and adherence best 
practices.",,"Integrate DAAS Access w/SDS 
Policy Pt1;
Integrate Solution & Policy 
w/Enterprise IDP Pt1;
Implement SDS Tool and/or 
integrate with DRM Tool Pt1","AC-3, AC-16",Gate by labels + RBAC; Private Link for storage.,Same in Gov.
4.3.1,"Implement Data Tagging & 
Classification Tools",Data,Component,Target Level ZT,15.9,"DoD Components implement a solution to create new rules, modify 
existing rules, delete existing rules, check for rule collision, rule 
deviation, or compound rule inconsistency, and testing of collective rule 
sets for an outcome. Tools must be adaptable to advanced analytic 
techniques.","1. Tooling is designed based on Component data tagging efforts 
that are well-formed with Enterprise-dictated patterns and 
standards, and are machine readable. 
2. Data classification uses data tagging attribution to specify 
allowed values.",All valid tags can be processed; all invalid tags cannot.,Define Data Tagging Standards,Implement Enforcement Points,"MP-3, AC-16",Use MIP labels and auto-labeling in Purview.,Same in Gov.
4.3.2,Manual Data Tagging Pt1,Data,Component,Target Level ZT,17.6,"Components map DoD Enterprise ZT tags to local labeling to meet 
minimum essential metadata criteria for compliance.","1.  Data tagging is conducted at the Component-level with basic 
attributes.","A standardized data tagging and labeling solution is in 
place, ensuring all Components comply with ZT 
principles. Metadata criteria are consistently applied, 
enhancing data security and access control across the 
Enterprise.","Data Analysis
Define Data Tagging Standards","Manual Data Tagging Pt2; DRM 
Enforcement via Data Tags and 
Analytics Pt1; DLP Enforcement 
via Data Tags and Analytics Pt1","MP-3, AC-16",Use MIP labels and auto-labeling in Purview.,Same in Gov.
4.3.3,Manual Data Tagging Pt2,Data,,Advanced Level ZT,16.1,"DoD Component specific data level attributes are integrated into the 
manual data tagging process. DoD Enterprise and Components 
collaborate to decide which attributes are required to meet ZT 
Advanced Level functionality. Data level attributes for ZT Advanced Level 
functionality is standardized across the Enterprise and incorporated.","1. Manual data tagging is expanded to the program/org levels with 
specific attributes.",,Manual Data Tagging Pt1,"Enrich Attributes for Resource 
Authorization Pt1","MP-3, AC-16",Use MIP labels and auto-labeling in Purview.,Same in Gov.
4.3.4,"Automated Data Tagging & 
Support Pt1",Data,,Advanced Level ZT,14.1,"DoD Components use Data Loss Prevention (DLP), Data Rights 
Management (DRM), and/or protection solutions to conduct scanning of 
data repositories. Standardized tags are applied to supported data 
repositories and data types. Unsupported data repositories and types 
are identified.","1. Basic automation begins scanning data repositories and applying 
tags.",,"Implement Data Tagging & 
Classification ML Tools","Automated Data Tagging & 
Support Pt2","MP-3, AC-16",Use MIP labels and auto-labeling in Purview.,Same in Gov.
4.3.5,"Automated Data Tagging & 
Support Pt2",Data,,Advanced Level ZT,38.8,"Remaining supported data repositories have basic and extended data 
tags applied using Machine Learning (ML) and Artificial Intelligence (AI). 
Extended data tags are applied to existing repositories. Unsupported 
data repositories and data types are evaluated for decommissioning 
using a risk-based methodical approach. Approved exceptions utilize 
manual data tagging approaches with data owners and/or custodians to 
manage tagging.","1. Full automation of data tagging is completed.
2. Results of data tagging are fed into ML algorithms to develop AI 
driven data tagging.",,"Automated Data Tagging & 
Support Pt1",,"MP-3, AC-16",Use MIP labels and auto-labeling in Purview.,Same in Gov.
4.4.1,"DLP Enforcement Point 
Logging and Analysis",Data,Component,Target Level ZT,10.8,"DoD Components identify business rules for managing data loss 
prevention (DLP) enforcement points, such as specific services and user 
endpoints. Using the established DoD Enterprise cybersecurity incident 
response standard, DoD Components ensure the appropriate level of 
detail of data is captured. Additionally, protection, detection, and 
response use cases are developed to better outline solution coverage.","1. Business rules for access control are established and coordinated 
with Cyber Operations to support standardized logging for 
managing DLP enforcement.
2. Standardized logging schema is enforced at the Component-
level.
3. Components identify enforcement points.","The right people are allowed to access the right data in 
the right place at the right time. Data loss prevention 
rules restrict exfiltration of information from an access 
control boundary, enhance visibility, and prevent data 
breaches when aligned with an incident response 
standard",,"Comprehensive Data Activity 
Monitoring","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
